Rank,Nickname,Points
1	Cor	27795
2	Starkiller	27768
3	Colo-Colo	27356
4	Aoe	27352
5	Freezestyler	27200
6	HaHAxD*	26913
7	Grk0ne	26770
8	TyшkaNчuk	26368
9	ano :3	25935
10	.:Danytto:.	24684
11	I.K.U	24604
12	bano	24360
13	Infern@L	24152
14	BaconDrink	24151
15	Esckiller	23552
16	Cendren	23249
17	NovaShock	23172
18	Noctua	23124
19	<BµmM>	23062
20	Goran	22223
21	superdial	21946
22	ScReeNy	21654
23	Cireme	21596
24	triki	21468
25	Knuski	21097
26	MPA3b	21001
27	Black Jack	20943
28	Xi	20837
29	Konsti	20567
30	qed	20547
31	FUMOFFU	20487
32	Cøke	20416
33	DaGiese :>	20407
34	=Schulzer=	20261
35	Kicker	20190
36	Graves	20177
37	lufu1	20074
38	Skaydox	19762
39	Blurry	19659
40	Tropo	19554
41	Cyclic~	19489
42	ZimE	19352
43	milk	19179
44	Wombat	19126
45	Ske	18976
46	Fluday	18855
47	Soapy Sandwich	18850
48	Keun	18659
49	Beiroc	18489
50	Smetanolub	18333
51	gB. | Kayumi	18303
52	Mystery?	17972
53	AvapiX	17937
54	Xploit	17935
55	Tea	17931
56	coradax	17849
57	QzBoY	17829
58	sorgaxD	17782
59	Chairn	17593
60	Meow~	17570
61	[Wu]*GzA	17448
62	LanuX	17425
63	'faceless	17357
64	Exotix	17217
65	Pepsicola_o0	17201
66	Genex	17061
67	KuNao	17029
68	Theon	16937
69	Forris	16899
70	Matrix	16890
71	LCSG47	16811
72	rqza	16757
73	^b[Bro] flummi	16746
74	Gorden	16468
75	Quote	16267
76	Tarzan	16167
77	LuckyStrike	15990
78	Cazanna	15965
79	☯Mڶɴ3☯	15952
80	Limbo	15944
81	Abel Moolman	15933
82	nameless tee	15864
83	Slayer	15824
84	┇»MiM«┇	15454
85	I See You	15443
86	Gurky	15391
87	murpi	15386
88	N9mkOik	15366
89	Sir Kruksic	15345
90	StarkillerJr.<3	15343
91	---------	15316
92	Wondernoob	15266
93	iParano	15256
94	Shawn.	15174
95	Keffz	15088
96	zelda.	15059
97	Brokecdx-	14917
98	Iaan~|	14888
99	Night_L	14879
100	Akari	14777
101	PlantKnight	14772
102	Zhady	14744
103	Yota.	14709
104	NeXus	14613
105	KlexMikrowelle	14551
