Rank	Nickname	CountOfTeammates
1	brainless tee	1947
2	nameless tee	925
3	(1)	683
4	Colo-Colo	668
5	fikmesån	596
6	Noctua	574
7	bano	541
8	Kicker	495
9	NovaShock	495
10	Cendren	494
11	<BµmM>	439
12	:)	422
13	iParano	404
14	Aoe	384
15	.:Danytto:.	379
16	PeX	377
17	Esckiller	370
18	Deathman	369
19	Cireme	366
20	[D]NovaShock	360
21	(1)brainless te	351
22	Freezestyler	350
23	AvapiX	349
24	TeeWurst Neon	345
25	Счастье	337
26	HaHAxD*	327
27	Hindu	326
28	Bolox	325
29	KlexMikrowelle	325
30	ad	324
31	Theon	322
32	ZimE	321
33	Cøke	319
34	♥|Duca	309
35	Tezcan	303
36	|JB*|Golden Axe	302
37	Juicy	302
38	superob96	301
39	GlobQ	300
40	qed	298
41	triki	297
42	Nooback	297
43	ano :3	296
44	ReD	296
45	shoxX	295
46	Slayer	295
47	Welf	293
48	Iaan~|	290
49	Meow~	289
50	NANAMAR	288
51	nothing	286
52	.	283
53	Cor	279
54	Chairn	278
55	Starkiller	273
56	'faceless	273
57	Zhady	270
58	simple	270
59	Yota.	267
60	StorмPʜöɴix	265
61	Avasus	265
62	jao	265
63	---------	263
64	Keun	263
65	NeXus	262
66	Elit3N0ob	262
67	sorgaxD	260
68	froid.'	256
69	Black Jack	255
70	Kill4FuN	254
71	ScReeNy	254
72	gB. | Kayumi	252
73	R41NB0W	252
74	Large	252
75	Soapy Sandwich	251
76	rezee	251
77	BaconDrink	251
78	krümelmonster	248
79	|Ŗaþŧurę|	246
80	coradax	246
81	Element Finland	245
82	Konsti	245
83	Fabi`	245
84	lufu1	244
85	seLFiii <33	242
86	⚡-ӃR١✗✗	242
87	Smetanolub	242
88	YaaOmo	241
89	painn	241
90	Alasia <3	241
91	Poltix	240
92	Knacker	238
93	LCSG47	237
94	Shima enaga	236
95	Cherry	235
96	DaGiese :>	232
97	Negativ	232
98	Grk0ne	232
99	xXxTee'	230
100	dummy	229
101	Deeper	229
102	Shawn.	228
103	Ryozuki	228
104	Donger	228
105	Lady Saavik	227
106	tatak	226
107	PlantKnight	226
108	*|Loading*	225
109	Exotix	225
110	Cloudly	224
111	Skindred	224
112	SPΞCTRUM	223
113	Gigabyte	221
114	Jojo	220
115	Xploit	220
116	1	220
117	xXìcéXx	220
118	I.K.U	220
119	Hydra	219
120	eStylez	219
121	Cola Dose	218
122	H٤иđعгĩα	218
123	멤밍	218
124	RavQ	217
125	David*°Villa	215
126	Tropo	215
127	afterfx	215
128	hannibal	213
129	Henk	213
130	keepmypl	213
131	AspHyXiA	211
132	zelda.	211
133	sarelemele	211
134	Lexin	210
135	szaro	210
136	Shiriusu	210
137	Gambol	209
138	Sweeeeet GM :>	209
139	=Schulzer=	209
140	Baby Groot	209
141	Matrix	209
142	Hidden-Ezio	208
143	Tea	208
144	Marii	208
145	RavenXXX	207
146	MDMA	207
147	4twenty!	206
148	clefairy'	205
149	.Sadabenn	205
150	Natsume	205
151	WojMen	204
152	Pio	203
153	Pastèque	203
154	enRage	203
155	LanuX	202
156	-Twist°~	202
157	Isaac.	202
158	NekoRul	202
159	WhiteBULL	201
160	chopnixDE	201
161	Yuzu	200
162	Xi	199
163	yo bitch	199
164	₱am	198
165	sadface.	198
166	-Mage-	197
167	Lier.	197
168	Infern@L	197
169	Hesse	196
170	^b[Bro] flummi	196
171	ΌℬitO➏34	196
172	Men of Steel	196
173	Majstor	195
174	I See You	195
175	Knuski	195
176	Wombat	194
177	gB. | Zerodin	193
178	RoyalSeriousLee	193
179	LuckyStrike	193
180	Jesus Christ	193
181	Neben	193
182	Eratyck	193
183	Amu~Cookie	192
184	Farbod	192
185	Fluday	192
186	Reed	192
187	Brokecdx-	191
188	Novo c:	191
189	Plowpowa	191
190	JaaJ	191
191	aMu	190
192	Spyker	190
193	Habibi57	190
194	Crytek	189
195	[*Fly]FeatuRe*	189
196	Sakidō	189
197	Kuchen	188
198	Sir Kruksic	187
199	Fumm	187
200	nether	187
