Rank	Nickname	CountOfTeammates
1	brainless tee	947
2	nameless tee	518
3	Noctua	479
4	Cendren	435
5	bano	428
6	(1)	407
7	fikmesån	362
8	:)	341
9	<BµmM>	333
10	iParano	328
11	Aoe	307
12	Cireme	302
13	TeeWurst Neon	296
14	Deathman	296
15	PeX	296
16	Freezestyler	290
17	Esckiller	288
18	Cøke	278
19	HaHAxD*	278
20	triki	273
21	KlexMikrowelle	273
22	Kicker	269
23	AvapiX	267
24	ZimE	266
25	Счастье	260
26	Theon	260
27	Hindu	259
28	GlobQ	258
29	Bolox	254
30	shoxX	252
31	Meow~	248
32	Chairn	243
33	|JB*|Golden Axe	243
34	Tezcan	242
35	'faceless	241
36	superob96	236
37	Colo-Colo	233
38	Juicy	231
39	nothing	229
40	Elit3N0ob	229
41	krümelmonster	227
42	Avasus	227
43	ad	226
44	Starkiller	225
45	Nooback	225
46	Cor	224
47	♥|Duca	222
48	Kill4FuN	221
49	BaconDrink	221
50	simple	220
51	Large	218
52	qed	216
53	Black Jack	214
54	lufu1	213
55	NeXus	213
56	LCSG47	213
57	Yota.	213
58	jao	213
59	StorмPʜöɴix	212
60	Keun	211
61	Konsti	210
62	Poltix	209
63	DaGiese :>	208
64	R41NB0W	208
65	Slayer	207
66	(1)brainless te	203
67	YaaOmo	202
68	Zhady	202
69	ReD	201
70	Donger	201
71	coradax	198
72	seLFiii <33	197
73	Element Finland	197
74	ScReeNy	195
75	gB. | Kayumi	194
76	Jojo	193
77	Exotix	192
78	SPΞCTRUM	191
79	|Ŗaþŧurę|	191
80	sorgaxD	191
81	Skindred	191
82	Shima enaga	191
83	froid.'	189
84	xXxTee'	188
85	*|Loading*	187
86	Lady Saavik	186
87	hannibal	186
88	Smetanolub	185
89	=Schulzer=	184
90	Baby Groot	184
91	Fabi`	183
92	H٤иđعгĩα	183
93	painn	182
94	rezee	181
95	Welf	180
96	Cherry	180
97	afterfx	180
98	PlantKnight	178
99	ano :3	176
100	yo bitch	175
101	NovaShock	175
102	RavenXXX	174
103	Knacker	174
104	Ryozuki	174
105	Negativ	174
106	Deeper	173
107	tatak	172
108	MDMA	172
109	LuckyStrike	172
110	keepmypl	171
111	Cola Dose	170
112	-Twist°~	170
113	Yuzu	169
114	Cloudly	168
115	Hidden-Ezio	167
116	Sir Kruksic	167
117	AspHyXiA	167
118	⚡-ӃR١✗✗	167
119	RavQ	167
120	---------	166
121	Hydra	165
122	chopnixDE	165
123	Shawn.	165
124	Natsume	165
125	Knuski	165
126	Gambol	164
127	4twenty!	164
128	clefairy'	164
129	Infern@L	164
130	Plowpowa	164
131	Matrix	164
132	Reed	163
133	WhiteBULL	162
134	Crytek	162
135	Soapy Sandwich	162
136	Joker.♥	162
137	Sweeeeet GM :>	161
138	Novo c:	161
139	LanuX	160
140	Wombat	160
141	Łorenzo→♡	160
142	Chop Suey	160
143	Alasia <3	160
144	Pio	159
145	Xploit	159
146	Henk	159
147	Genex	159
148	Neben	159
149	Marii	158
150	lola	158
151	Lexin	157
152	Ganjah	157
153	Gorden	157
154	-Mage-	156
155	Isaac.	156
156	Brezzel	155
157	gB. | Zerodin	155
158	Luna	154
159	Men of Steel	153
160	RayB.	153
161	MyStery.Fox	153
162	smile	152
163	Pastèque	152
164	Jesus Christ	152
165	B'RexterPL	152
166	Fumm	151
167	Tea	151
168	Mr.E}|{UK	151
169	Fluday	151
170	AssasinMaster	151
171	aMu	150
172	Atomic	150
173	faruki88	150
174	Xi	150
175	BlueMeww	150
176	Spyker	149
177	x.RaveN'	149
178	Zwelf	148
179	.Sadabenn	148
180	hZedres	148
181	Skeptar	147
182	David*°Villa	147
183	Kuchen	147
184	NANAMAR	147
185	szaro	147
186	1	146
187	Kandiifloss	146
188	flash	146
189	Chyste	146
190	Lier.	146
191	it robertusg	146
192	Gigabyte	146
193	timakro	145
194	corneum	145
195	₱am	145
196	Pinou	145
197	WojMen	145
198	Sir Skeleton	144
199	superdial	144
200	.:Danytto:.	144
